DUE,STATUS,TYPE,TOPIC,CLASS
2/20/22,,Homework,MML 08.4,Math 172
2/20/22,,Homework,Assignment 13,Phys 201
2/22/22,,Lab,Newton's Third Law Impulse and Momentum,Phys 211
2/22/22,,Homework,Lab Report 4,Phys 211
2/23/22,,Reading,10.1 Seq. and Series,Math 172
2/23/22,,Reading,DD CPP 10.1-10.2,Cpt_S 122
2/23/22,,Quiz,Quiz 3,Cpt_S 122
2/23/22,,Reading,7 Dynamics II: Planar Motion,Phys 201
2/23/22,,Reading,5.3,Math 216
2/23/22,,Homework,HW 4,Math 216
2/23/22,,Homework,Assignment 14,Phys 201
2/24/22,,Homework,MML 08.8,Math 172
2/25/22,,Reading,10.2 Sequences,Math 172
2/25/22,,Reading,DD CPP 8.6-8.8 9.1-9.15 10.4-10.6,Cpt_S 122
2/25/22,,Reading,7 Dynamics II: Planar Motion,Phys 201
2/25/22,,Reading,4.7,Math 216
2/25/22,,Homework,Written 5,Math 172
2/28/22,,Reading,10.3 Geometric Sums,Math 172
2/28/22,,Reading,DD CPP 10.8-10.15 21.1-21.6,Cpt_S 122
2/28/22,,Quiz,Quiz 4,Cpt_S 122
2/28/22,,Reading,10 Impulse and Momentum,Phys 201
2/28/22,,Reading,5.1,Math 216
2/28/22,,Homework,HW 5,Math 216
3/1/22,,Lab,Work and Energy,Phys 211
3/1/22,,Homework,Lab Report 5,Phys 211
3/2/22,,Reading,DD CPP 18.1-18.6,Cpt_S 122
3/2/22,,Homework,PA 3,Cpt_S 122
3/2/22,,Reading,10 Impulse and Momentum,Phys 201
3/2/22,,Reading,6.2,Math 216
3/3/22,,Exam,Exam 2 8:30 PM,Math 172
3/4/22,,Reading,10.4a Divergence and Integral Tests,Math 172
3/4/22,,Reading,DD CPP 19.1-19.2,Cpt_S 122
3/4/22,,Reading,8 Work and Kinetic Energy,Phys 201
3/4/22,,Reading,8.1,Math 216
3/4/22,,Homework,Written 6,Math 172
3/7/22,,Reading,10.4b Divergence and Integral Tests,Math 172
